x,y,r,fill
750,640,10,black
730,620,10,black
710,600,10,black
690,580,10,black
675,560,10,black
663,540,10,black
652,520,10,black
640,500,10,gray
630,480,10,gray
645,470,10,gray
665,470,10,gray
690,470,10,gray
710,470,10,gray
720,478,10,black
730,460,10,black
740,440,10,black
750,420,10,black
763,400,10,black
775,380,10,black
786,360,10,black
800,340,10,black
812,320,10,gray
824,300,10,gray
836,280,10,gray
848,260,10,gray
860,240,10,gray
872,220,10,gray
884,200,10,gray
896,180,10,black
908,160,10,black
920,140,10,black
932,120,10,black
944,100,10,black
